Cid	Smiles	Name	Formula	Terms	TreeIds
18499	CC[N+](C)(C)CC1=CC=CC=C1Br.[Br-]	bretylium	C11H17Br2N	['Cardiovascular Agents']	['D27.505.954.411']
3354	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4	Flavoxate	C24H25NO4	['Peripheral Nervous System Agents', 'Urological Agents']	['D27.505.696.663', 'D27.505.954.944']
10612083	CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C=CC#N	Ro 48-1220	C10H10N2O5S	['Enzyme Inhibitors', 'Anti-Infective Agents']	['D27.505.954.122', 'D27.505.519.389']
49831411	CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl	aripiprazole lauroxil	C36H51Cl2N3O4	['Central Nervous System Depressants', 'Central Nervous System Agents']	['D27.505.954.427', 'D27.505.696.277']
20848883	CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl	Cefotiam	C18H24ClN9O4S3	['Anti-Infective Agents']	['D27.505.954.122']
123720	C1=CC(=CC=C1NC2=NC(=NC(=N2)N)N)[As](SCCN)SCCN.Cl.Cl	melaminylthioarsenate	C13H23AsCl2N8S2	['Anti-Infective Agents']	['D27.505.954.122']
130227	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4=C3C=CC(=C4)C(=O)O	17-(N-t-butylcarboxamide)estra-1,3,5(10)-triene-3-carboxylic acid	C24H33NO3	['Enzyme Inhibitors', 'Hormones, Hormone Substitutes, and Hormone Antagonists']	['D27.505.696.399', 'D27.505.519.389']
148193	CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N	tipifarnib	C27H22Cl2N4O	['Antineoplastic Agents']	['D27.505.954.248']
9961939	CCOC1=CC=C(C=C1)CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Gd+3]	gadolinium ethoxybenzyl DTPA	C23H28GdN3Na2O11	['Contrast Media']	['D27.505.259.500']
72145	CCOC1=C(C(=C(C2=C1C(OC2=O)C3C4=C(C5=C(C=C4CCN3C)OCO5)OC)N)OCC)OCC	tritoqualine	C26H32N2O8	['Neurotransmitter Agents']	['D27.505.519.625', 'D27.505.696.577']
65328	C1CCCN(CCC1)CCN=C(N)N.C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O	Guanethidine	C20H46N8O4S	['Cardiovascular Agents', 'Peripheral Nervous System Agents', 'Neurotransmitter Agents']	['D27.505.519.625', 'D27.505.696.663', 'D27.505.954.411', 'D27.505.696.577']
23663987	CC1=CC2=C(C=C1C)N(C=N2)CC=C3C4=CC=CC=C4COC5=C3C=C(C=C5)C(=O)[O-].O.[Na+]	KW 3635	C26H23N2NaO4	['Hematologic Agents']	['D27.505.954.502']
