Cid	Smiles	Name	Formula	Term_List	TreeId
string	string	string	string	string	string
					meta
3371	C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F	Flufenamic Acid	C14H10F3NO2	['Anti-Inflammatory Agents']	[' ']
5587	CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2	Tripelennamine	C16H21N3	['Anti-Allergic Agents', 'Histamine H1 Antagonists']	[' ']
162998	CC1=C(N=CN1)CSCCNC2=NC=C(C(=O)N2)CC3=CC4=C(C=C3)OCO4.Cl.Cl	oxmetidine	C19H23Cl2N5O3S	['Histamine H2 Antagonists', 'Anti-Ulcer Agents']	[' ']
9865808	C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)Cl	4-(5-(4-chlorophenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide	C16H11ClF3N3O2S	['Cyclooxygenase Inhibitors']	[' ']
3435	C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]	Furazolidone	C8H7N3O5	['Monoamine Oxidase Inhibitors', 'Anti-Infective Agents, Urinary', 'Anti-Infective Agents, Local']	[' ']
5567	C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F	Trifluperidol	C22H23F4NO2	['Dopamine Antagonists', 'Antipsychotic Agents']	[' ']
4184	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	Mianserin	C18H20N2	['Antidepressive Agents, Second-Generation', 'Serotonin Antagonists', 'Histamine H1 Antagonists', 'Adrenergic alpha-Antagonists']	[' ']
2753	CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3	cilostamide	C20H26N2O3	['Platelet Aggregation Inhibitors', 'Phosphodiesterase Inhibitors']	[' ']
6852391	CCCC[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]	Butylscopolammonium Bromide	C21H30BrNO4	['Muscarinic Antagonists', 'Parasympatholytics']	[' ']
154234	CCC(CC)C(C1C(CC(C1O)C(=O)O)N=C(N)N)NC(=O)C	peramivir	C15H28N4O4	['Enzyme Inhibitors', 'Antiviral Agents']	[' ']
3249	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	Ergocalciferols	C28H44O	['Bone Density Conservation Agents', 'Vitamins']	[' ']
4829	CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3	pioglitazone	C19H20N2O3S	['Hypoglycemic Agents']	[' ']
8350	C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O	cinchonine	C19H22N2O	['Antimalarials']	[' ']
6196	CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	Oxacillin	C19H19N3O5S	['Anti-Bacterial Agents']	[' ']
66007	C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl	Trihexyphenidyl	C20H32ClNO	['Muscarinic Antagonists', 'Antiparkinson Agents']	[' ']
119033	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)CO)O)O)O	prunasin	C14H17NO6	['Enzyme Inhibitors']	[' ']
